reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
test.claim.live_deploy.running_release_identity_witness_test.witness_absent_identity_is_typed_absent_not_unparseable				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_absent_identity_is_typed_absent_not_unparseable	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.qualified_declaration_reference_emit_cross_module_witness.cross_module_qualified_reference_emits_call_from_correct_module				other	other	test.claim.qualified_declaration_reference_emit_cross_module_witness.cross_module_qualified_reference_emits_call_from_correct_module	exceeded Cpu budget (695ms elapsed against 500ms)
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.authored_duplication_in_shared_frame_is_error	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness.cross_frame_duplicate_discharged_by_covering_provider				other	other	test.claim.materialization_ladder_witness.cross_frame_duplicate_discharged_by_covering_provider	non-exhaustive pattern match on: RoleAdmitted
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.obligation_without_provider_is_typed_refusal	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.provider_scope_too_narrow_is_refused	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.existence_keyed_provider_is_refused	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.declared_replay_frame_obligates_up_front	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.unbounded_siblings_frame_obligates_up_front	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.fresh_effect_duplication_is_exempt_not_cached	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.world_read_without_envelope_is_refused	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness.world_read_with_declared_envelope_is_discharged				other	other	test.claim.materialization_ladder_witness.world_read_with_declared_envelope_is_discharged	non-exhaustive pattern match on: RoleAdmitted
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.single_pure_demand_is_accepted_recompute	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.zero_demand_pure_declaration_is_dead_computation	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.zero_demand_effect_is_the_use_not_dead	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_single_take_no_borrows_is_moved	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_plural_readonly_is_shared_by_reference	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_take_with_borrows_is_priced_demotion_to_copy	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_fold_carry_excluded_from_plurality_but_blocks_move	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_double_take_is_affine_refusal_not_a_caching_opportunity	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_reference_share_requires_the_carrier_capability	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=edge		gunbc.roadmap_authority.edge	gunbc.roadmap_authority|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.value_demotion_requires_declared_copy_provider	call contract mismatch calling 'edge': no parameter named 'access' (declared: [child, parent])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.reference_provider_cannot_discharge_isolation_obligation	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.below_cost_floor_duplication_is_typed_acceptance	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness (witness); bare=count_matching		product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.materialization_ladder_witness	call_contract_mismatch	bare_name_binding	test.claim.materialization_ladder_witness.conflicting_natures_on_one_identity_are_refused	call contract mismatch calling 'count_matching': no parameter named 'vs' (declared: [names, name])
test.claim.materialization_ladder_witness.ineligible_provider_first_does_not_mask_eligible_one				other	other	test.claim.materialization_ladder_witness.ineligible_provider_first_does_not_mask_eligible_one	non-exhaustive pattern match on: RoleRefused { reason: CapacityUnobservedForRole }
test.claim.materialization_ladder_witness.eligible_provider_first_gives_the_same_verdict				other	other	test.claim.materialization_ladder_witness.eligible_provider_first_gives_the_same_verdict	non-exhaustive pattern match on: RoleAdmitted
test.claim.materialization_ladder_witness.persistent_unbounded_only_refuses_with_the_unbounded_cause				other	other	test.claim.materialization_ladder_witness.persistent_unbounded_only_refuses_with_the_unbounded_cause	non-exhaustive pattern match on: RoleRefused { reason: CapacityUnboundedForRole }
test.claim.materialization_ladder_witness.persistent_unobserved_only_refuses_with_the_unobserved_cause				other	other	test.claim.materialization_ladder_witness.persistent_unobserved_only_refuses_with_the_unobserved_cause	non-exhaustive pattern match on: RoleRefused { reason: CapacityUnobservedForRole }
test.claim.materialization_provider_witness.request_kinds_ground_on_cache_identity_rows				other	other	test.claim.materialization_provider_witness.request_kinds_ground_on_cache_identity_rows	non-exhaustive pattern match on: DeclaredInput { digest: Fnv1a64Structural { digest: 62667a6cb1d4d2bb }, ref: compiler_binary_identity }
test.claim.materialization_provider_witness.request_kind_is_in_the_key				other	other	test.claim.materialization_provider_witness.request_kind_is_in_the_key	non-exhaustive pattern match on: DeclaredInput { digest: Fnv1a64Structural { digest: 62667a6cb1d4d2bb }, ref: compiler_binary_identity }
